LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea
7560,5,5,1040,1,0,3,6,0,286
8263,6,5,1012,1,0,2,6,1,308
10084,7,5,1552,2,0,3,7,0,782
8926,4,3,672,1,0,3,5,0,288
9405,5,9,698,1,0,2,4,0,0
9125,7,5,384,2,1,3,7,1,392
10434,4,5,1005,1,0,2,5,1,672
3684,7,5,1373,2,0,2,7,1,660
14572,7,5,1530,2,0,3,7,1,630
11796,7,5,847,2,1,4,8,1,434
7200,5,5,936,1,0,2,4,0,672
7804,4,3,1122,2,0,4,7,2,576
10712,5,5,974,1,0,3,5,0,0
9900,6,4,1008,2,0,5,8,0,205
9828,8,5,1128,2,1,3,8,1,466
8773,6,5,916,2,1,3,7,1,460
6180,6,5,960,1,0,2,5,1,180
9600,6,5,1032,1,0,3,6,0,288
6342,5,8,780,1,0,2,6,0,0
9819,6,5,1567,2,0,2,5,2,714
8731,5,5,915,1,0,3,6,1,495
7350,5,7,952,1,0,2,4,0,840
10304,5,7,780,2,1,4,9,1,484
9965,8,5,1466,3,0,4,11,1,1052
9000,5,3,1006,1,0,3,5,0,0
12180,4,4,672,1,0,2,5,0,280
6240,5,6,1042,1,0,3,8,1,225
11200,6,5,1298,2,0,3,5,1,403
12000,7,7,704,1,1,3,7,1,234
5700,7,7,572,1,0,2,5,1,288
9000,7,9,650,1,0,3,7,0,324
8280,6,5,932,1,0,2,4,1,306
17755,5,4,1466,1,1,3,6,2,528
14115,6,7,1073,1,0,2,6,1,470
5890,6,8,816,1,0,2,5,0,432
13700,7,6,864,1,2,4,8,2,492
10768,5,8,1437,2,0,3,6,1,528
9350,5,8,1219,2,0,3,6,1,502
5001,7,5,1314,2,0,2,6,1,626
11932,8,5,1580,2,0,3,7,0,830
9120,6,6,901,2,1,4,8,1,540
2280,6,5,855,2,1,3,7,1,440
14778,6,7,1296,1,0,3,7,1,924
8724,5,5,894,1,0,3,5,1,450
12900,4,4,1198,0,2,0,6,0,400
16157,5,7,1360,1,1,2,5,1,588
9541,7,5,1502,2,0,3,7,0,644
10475,8,5,1694,2,0,3,7,0,776
10852,6,5,959,2,1,3,7,1,472
13728,6,7,1127,2,0,4,7,2,540
35760,10,5,1930,3,1,4,10,1,807
