layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
1,"[5, 5, 9, 4, 5, 4, 27, 0, 9, 0, 3]","['>', 92.5, '<=', 698.5, '<=', 2.5, '>', 4.5, '<=', 250.5, '<=', 8.5, '>', 0.5, '>', 20.5, '<=', 1.5, '>', 26.5, '>', 6.5]",468,0,5.530607421413378,100,6.748377793799568,12.643522896123196,4.962192816635161,99.04761904761905,6.0324825986078885,11.372334609075997,12.007928752599597,correct
1,"[5, 4, 9, 3, 7, 4, 24, 26]","['<=', 92.5, '>', 3.5, '<=', 1.5, '>', 2.5, '<=', 382.0, '>', 4.5, '>', 0.5, '<=', 0.5]",421,0,4.975183171826991,100,6.070656092285509,11.446438281674824,4.914933837429111,97.11538461538461,5.8584686774942,11.050328227571116,11.24838325462297,correct
1,"[5, 5, 9, 2, 5, 7, 24, 7, 13]","['>', 92.5, '<=', 698.5, '>', 2.5, '<=', 13362.5, '>', 162.5, '>', 7.5, '<=', 0.5, '>', 120.5, '<=', 0.5]",192,0,2.2689671472465136,100,2.768565248738284,5.387961274028343,2.1739130434782608,97.82608695652173,2.6102088167053363,5.084745762711864,5.2363535183701035,correct
1,"[5, 5, 9, 4, 5, 4, 27, 3, 2, 17, 0, 19, 0, 0, 5, 16]","['>', 92.5, '<=', 698.5, '<=', 2.5, '>', 4.5, '<=', 250.5, '<=', 8.5, '<=', 0.5, '>', 5.5, '<=', 84.0, '<=', 0.5, '<=', 61.5, '<=', 0.5, '>', 25.5, '>', 29.5, '<=', 233.0, '<=', 0.5]",191,0,2.257149610021272,100,2.7541456380677722,5.360651136682571,2.0321361058601135,100.0,2.494199535962877,4.86700622524052,5.113828680961546,correct
1,"[5, 4, 9, 3, 7, 4, 24, 7, 4, 0, 6, 0]","['<=', 92.5, '>', 3.5, '<=', 1.5, '>', 2.5, '<=', 382.0, '>', 4.5, '<=', 0.5, '<=', 100.0, '<=', 8.5, '>', 27.5, '>', 1.5, '>', 34.5]",180,0,2.1271567005436065,100,2.595529920692141,5.059732958538299,2.504725897920605,100.0,3.074245939675174,5.9651097355092855,5.512421347023793,correct
1,"[5, 5, 5, 1, 7, 5, 23, 0, 2, 2, 0, 4]","['>', 92.5, '>', 698.5, '<=', 3519.0, '>', 1.5, '<=', 370.5, '>', 819.5, '<=', 0.5, '<=', 57.5, '<=', 7550.5, '>', 379.0, '<=', 36.5, '<=', 10.5]",161,0,1.9026234932640038,100,2.3215573179524154,4.537767756482526,1.9376181474480152,92.6829268292683,2.2041763341067284,4.305949008498583,4.421858382490555,correct
1,"[5, 5, 9, 4, 5, 5, 5, 27, 4, 0]","['>', 92.5, '<=', 698.5, '<=', 2.5, '>', 4.5, '>', 250.5, '<=', 614.5, '<=', 346.5, '>', 0.5, '<=', 9.5, '<=', 50.5]",149,0,1.7608130465610965,100,2.1485219899062726,4.206662902315077,2.0321361058601135,97.67441860465115,2.436194895591647,4.753820033955857,4.480241468135467,correct
1,"[5, 5, 9, 4, 5, 4, 27, 3, 2, 6, 7, 5, 2, 0, 11, 5, 4, 7, 5]","['>', 92.5, '<=', 698.5, '<=', 2.5, '>', 4.5, '<=', 250.5, '<=', 8.5, '<=', 0.5, '>', 5.5, '>', 84.0, '>', 2.5, '<=', 140.0, '<=', 204.5, '<=', 15914.5, '<=', 62.0, '<=', 0.5, '>', 94.5, '>', 6.5, '<=', 58.0, '>', 97.5]",145,0,1.7135428976601277,100,2.0908435472242246,4.096045197740112,1.7958412098298677,92.10526315789474,2.0301624129930396,3.9727582292849037,4.0344017135125085,correct
1,"[5, 5, 9, 2, 5, 7, 24, 7, 7, 11, 6, 7, 4]","['>', 92.5, '<=', 698.5, '>', 2.5, '<=', 13362.5, '>', 162.5, '>', 7.5, '<=', 0.5, '<=', 120.5, '<=', 103.5, '<=', 0.5, '<=', 4.5, '<=', 98.5, '<=', 9.5]",145,0,1.7135428976601277,100,2.0908435472242246,4.096045197740112,1.7958412098298677,92.10526315789474,2.0301624129930396,3.9727582292849037,4.0344017135125085,correct
1,"[5, 5, 9, 4, 5, 4, 4, 3, 5, 9, 7, 27]","['>', 92.5, '<=', 698.5, '<=', 2.5, '>', 4.5, '<=', 250.5, '>', 8.5, '>', 10.5, '>', 14.5, '<=', 221.0, '<=', 1.5, '<=', 102.5, '<=', 0.5]",119,0,1.406286929803829,100,1.7159336697909156,3.3739722143464697,1.7485822306238186,86.48648648648648,1.8561484918793503,3.634298693923907,3.5041354541351883,correct
