layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
5,"[486, 332, 71, 206, 195, 458, 195, 350, 506]","['<=', 0.20461587607860565, '<=', 0.13979033380746841, '<=', 0.02042749524116516, '<=', 0.08979664370417595, '<=', 0.05363072454929352, '>', 0.001991651952266693, '>', 0.00754008418880403, '>', 0.05637640133500099, '<=', 0.22460047900676727]",29,1000,0.0725,100,10.069444444444445,18.29652996845426,0.69,0.0,0.0,0.0,9.14826498422713,incorrect
5,"[486, 332, 357, 195, 315, 301, 443]","['<=', 0.20461587607860565, '>', 0.13979033380746841, '<=', 0.15968911349773407, '<=', 0.0852542445063591, '>', 0.15869459509849548, '<=', 0.0012910682708024979, '<=', 0.0739777684211731]",19,1000,0.0475,100,6.597222222222222,12.37785016286645,0.16,0.0,0.0,0.0,6.188925081433225,incorrect
5,"[486, 332, 357, 195, 383, 174, 441, 132, 34, 120, 405, 189]","['<=', 0.20461587607860565, '>', 0.13979033380746841, '<=', 0.15968911349773407, '>', 0.0852542445063591, '<=', 0.022104271687567234, '>', 0.01808856427669525, '<=', 0.0765177458524704, '<=', 0.07991602644324303, '<=', 0.04191210865974426, '>', 0.01852050144225359, '>', 0.0011784746311604977, '<=', 0.004482763586565852]",13,1000,0.0325,100,4.513888888888888,8.637873754152823,0.2,0.0,0.0,0.0,4.318936877076411,incorrect
5,"[486, 332, 357, 244, 354, 486, 418, 243, 132, 465, 66, 43, 120, 57, 66, 24, 417, 216, 354, 446]","['<=', 0.20461587607860565, '>', 0.13979033380746841, '>', 0.15968911349773407, '<=', 0.09962720796465874, '>', 0.0168452812358737, '>', 0.01611490361392498, '<=', 0.06701760739088058, '>', 0.028006846085190773, '>', 0.013195579871535301, '>', 0.1075158454477787, '<=', 0.23762894421815872, '<=', 0.2516634985804558, '<=', 0.2662615180015564, '<=', 0.23783628642559052, '<=', 0.23758932203054428, '<=', 0.03150965925306082, '<=', 0.0017604888416826725, '>', 0.022685455158352852, '>', 0.1385737583041191, '>', 0.008646342204883695]",12,1000,0.03,100,4.166666666666666,7.999999999999999,0.26,0.0,0.0,0.0,3.9999999999999996,incorrect
5,"[486, 332, 71, 93, 244, 319, 381, 400]","['<=', 0.20461587607860565, '<=', 0.13979033380746841, '>', 0.02042749524116516, '>', 0.08985279873013496, '>', 0.04206037521362305, '>', 0.04161529801785946, '<=', 0.0937490314245224, '<=', 0.010130800073966384]",11,1000,0.0275,100,3.8194444444444446,7.357859531772576,0.06,0.0,0.0,0.0,3.678929765886288,incorrect
5,"[486, 332, 71, 93, 140, 256, 92]","['<=', 0.20461587607860565, '<=', 0.13979033380746841, '>', 0.02042749524116516, '<=', 0.08985279873013496, '>', 0.12091846391558647, '<=', 0.019467182457447052, '<=', 0.036993508227169514]",9,1000,0.0225,100,3.125,6.0606060606060606,0.08,0.0,0.0,0.0,3.0303030303030303,incorrect
5,"[486, 332, 357, 195, 315, 486, 504, 91]","['<=', 0.20461587607860565, '>', 0.13979033380746841, '<=', 0.15968911349773407, '<=', 0.0852542445063591, '<=', 0.15869459509849548, '<=', 0.061385421082377434, '<=', 0.0758061408996582, '>', 0.012237063609063625]",9,1000,0.0225,100,3.125,6.0606060606060606,0.04,0.0,0.0,0.0,3.0303030303030303,incorrect
5,"[486, 332, 71, 206, 195, 458, 195, 350, 506, 108]","['<=', 0.20461587607860565, '<=', 0.13979033380746841, '<=', 0.02042749524116516, '<=', 0.08979664370417595, '<=', 0.05363072454929352, '>', 0.001991651952266693, '>', 0.00754008418880403, '>', 0.05637640133500099, '>', 0.22460047900676727, '>', 0.21959444135427475]",8,1000,0.02,100,2.7777777777777777,5.405405405405405,0.13,0.0,0.0,0.0,2.7027027027027026,incorrect
5,"[486, 332, 357, 195, 383, 174, 441, 132, 34, 120, 405, 189, 279, 93]","['<=', 0.20461587607860565, '>', 0.13979033380746841, '<=', 0.15968911349773407, '>', 0.0852542445063591, '<=', 0.022104271687567234, '>', 0.01808856427669525, '<=', 0.0765177458524704, '<=', 0.07991602644324303, '<=', 0.04191210865974426, '>', 0.01852050144225359, '>', 0.0011784746311604977, '>', 0.004482763586565852, '>', 0.033129848539829254, '<=', 0.04689475893974304]",6,1000,0.015,100,2.083333333333333,4.081632653061225,0.02,0.0,0.0,0.0,2.0408163265306123,incorrect
5,"[486, 454, 486, 486, 67, 211, 132, 484, 174, 2, 489, 413, 321]","['>', 0.20461587607860565, '>', 0.00010464200749993324, '<=', 0.3197792321443558, '<=', 0.31977178156375885, '<=', 0.5431239008903503, '<=', 0.04637043550610542, '<=', 0.09804632514715195, '<=', 0.2746337950229645, '<=', 0.31637778878211975, '>', 0.04167095199227333, '<=', 0.1289920061826706, '>', 0.13352776318788528, '<=', 0.025019289925694466]",6,1000,0.015,100,2.083333333333333,4.081632653061225,0.06999999999999999,0.0,0.0,0.0,2.0408163265306123,incorrect
5,"[486, 332, 71, 206, 195, 277, 2]","['<=', 0.20461587607860565, '<=', 0.13979033380746841, '<=', 0.02042749524116516, '<=', 0.08979664370417595, '>', 0.05363072454929352, '>', 0.1132473424077034, '>', 0.01638813689351082]",4,1000,0.01,100,1.3888888888888888,2.73972602739726,0.13999999999999999,0.0,0.0,0.0,1.36986301369863,incorrect
5,"[486, 332, 71, 206, 17]","['<=', 0.20461587607860565, '<=', 0.13979033380746841, '<=', 0.02042749524116516, '>', 0.08979664370417595, '<=', 0.07396260648965836]",4,1000,0.01,100,1.3888888888888888,2.73972602739726,0.05,0.0,0.0,0.0,1.36986301369863,incorrect
5,"[486, 332, 71, 93, 140, 495, 425, 24, 93, 75, 110, 372, 372, 182]","['<=', 0.20461587607860565, '<=', 0.13979033380746841, '>', 0.02042749524116516, '<=', 0.08985279873013496, '<=', 0.12091846391558647, '<=', 0.06115901842713356, '>', 0.008386719040572643, '>', 0.015810116659849882, '<=', 0.08952799439430237, '<=', 0.0859648659825325, '<=', 0.11340068653225899, '<=', 0.03838210552930832, '>', 0.032481849193573, '<=', 0.03805977292358875]",4,1000,0.01,100,1.3888888888888888,2.73972602739726,0.06,0.0,0.0,0.0,1.36986301369863,incorrect
5,"[486, 332, 71, 93, 140, 495, 102, 210, 508, 77, 295]","['<=', 0.20461587607860565, '<=', 0.13979033380746841, '>', 0.02042749524116516, '<=', 0.08985279873013496, '<=', 0.12091846391558647, '>', 0.06115901842713356, '<=', 0.14259884506464005, '<=', 0.19626902043819427, '<=', 0.009249161928892136, '<=', 0.012855648063123226, '<=', 0.056846560910344124]",4,1000,0.01,100,1.3888888888888888,2.73972602739726,0.06999999999999999,0.0,0.0,0.0,1.36986301369863,incorrect
5,"[486, 332, 71, 93, 140, 495, 102, 210]","['<=', 0.20461587607860565, '<=', 0.13979033380746841, '>', 0.02042749524116516, '<=', 0.08985279873013496, '<=', 0.12091846391558647, '>', 0.06115901842713356, '<=', 0.14259884506464005, '>', 0.19626902043819427]",4,1000,0.01,100,1.3888888888888888,2.73972602739726,0.1,0.0,0.0,0.0,1.36986301369863,incorrect
