layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
1,"[641, 1476, 2070, 1592, 2575, 1255, 623, 2056, 1525, 1693, 2785, 278]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '<=', 0.035294145345687866, '>', -0.3960784375667572, '<=', 0.10196080803871155, '<=', 0.3019607961177826, '<=', 0.364705890417099, '<=', -0.09019607305526733, '>', -0.4470588266849518]",66,1000,11.458333333333332,100,22.916666666666664,37.28813559322034,8.75,0.0,0.0,0.0,18.64406779661017,incorrect
1,"[641, 1476, 2070, 1592, 2575, 1255, 623, 2056, 1525, 1693, 2785, 623, 2727, 1147]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '<=', 0.035294145345687866, '>', -0.3960784375667572, '<=', 0.10196080803871155, '<=', 0.3019607961177826, '<=', 0.364705890417099, '>', -0.09019607305526733, '>', -0.27843138575553894, '>', -0.40392157435417175, '>', -0.001960769295692444]",32,1000,5.555555555555555,100,11.11111111111111,20.0,3.5999999999999996,0.0,0.0,0.0,10.0,incorrect
1,"[641, 1476, 2070, 1592, 2575, 1255, 2392, 1843, 18]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '>', 0.035294145345687866, '>', 0.03333336114883423, '>', -0.343137264251709, '<=', 0.03921571373939514]",29,1000,5.034722222222222,100,10.069444444444445,18.29652996845426,4.33,0.0,0.0,0.0,9.14826498422713,incorrect
1,"[641, 1476, 2070, 1592, 2575, 1255, 2392, 1843, 18, 1307, 2182]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '>', 0.035294145345687866, '>', 0.03333336114883423, '>', -0.343137264251709, '>', 0.03921571373939514, '<=', -0.17058822512626648, '>', -0.24313724040985107]",19,1000,3.298611111111111,100,6.597222222222222,12.37785016286645,2.15,0.0,0.0,0.0,6.188925081433225,incorrect
1,"[641, 1476, 2070, 1592, 2575, 1255, 623, 2056, 1525, 1693, 2785, 623, 2727, 1147, 1333, 1327]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '<=', 0.035294145345687866, '>', -0.3960784375667572, '<=', 0.10196080803871155, '<=', 0.3019607961177826, '<=', 0.364705890417099, '>', -0.09019607305526733, '>', -0.27843138575553894, '>', -0.40392157435417175, '<=', -0.001960769295692444, '<=', -0.047058820724487305, '<=', 0.20980393886566162]",17,1000,2.951388888888889,100,5.902777777777778,11.147540983606557,4.43,0.0,0.0,0.0,5.573770491803279,incorrect
1,"[641, 1476, 2070, 1592, 2575, 3064, 731]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '<=', -0.2568627595901489, '<=', -0.3490196168422699, '<=', 0.1882353127002716]",16,1000,2.7777777777777777,100,5.555555555555555,10.526315789473683,2.92,0.0,0.0,0.0,5.263157894736842,incorrect
1,"[641, 1476, 2070, 1592, 1710, 3065]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '<=', -0.3764705955982208, '<=', -0.1607843041419983, '<=', -0.07647058367729187]",12,1000,2.083333333333333,100,4.166666666666666,7.999999999999999,2.06,0.0,0.0,0.0,3.9999999999999996,incorrect
1,"[641, 1476, 2070, 1592, 2575, 1255, 623, 2056, 2280, 2367]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '<=', 0.035294145345687866, '>', -0.3960784375667572, '>', 0.10196080803871155, '>', -0.05686274170875549, '<=', 0.25294119119644165]",12,1000,2.083333333333333,100,4.166666666666666,7.999999999999999,2.76,0.0,0.0,0.0,3.9999999999999996,incorrect
1,"[641, 1476, 2210, 68]","['<=', 0.4333333373069763, '>', 0.2705882489681244, '>', 0.1254902184009552, '<=', 0.2352941334247589]",10,1000,1.7361111111111112,100,3.4722222222222223,6.7114093959731544,1.63,0.0,0.0,0.0,3.3557046979865772,incorrect
1,"[641, 1476, 2070, 1592, 2575, 1255, 2392, 1843, 18, 1307, 1116]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '>', 0.035294145345687866, '>', 0.03333336114883423, '>', -0.343137264251709, '>', 0.03921571373939514, '>', -0.17058822512626648, '>', 0.26274511218070984]",9,1000,1.5625,100,3.125,6.0606060606060606,1.02,0.0,0.0,0.0,3.0303030303030303,incorrect
1,"[641, 1476, 2210, 962, 1342, 633]","['<=', 0.4333333373069763, '>', 0.2705882489681244, '<=', 0.1254902184009552, '<=', -0.22549018263816833, '>', -0.20392155647277832, '<=', 0.17450982332229614]",7,1000,1.215277777777778,100,2.430555555555556,4.7457627118644075,1.7000000000000002,0.0,0.0,0.0,2.3728813559322037,incorrect
1,"[641, 1476, 2070, 1592, 2575, 1255, 2392, 1843, 18, 1307, 1116, 1361]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '>', 0.035294145345687866, '>', 0.03333336114883423, '>', -0.343137264251709, '>', 0.03921571373939514, '>', -0.17058822512626648, '<=', 0.26274511218070984, '>', 0.2666666805744171]",6,1000,1.0416666666666665,100,2.083333333333333,4.081632653061225,0.83,0.0,0.0,0.0,2.0408163265306123,incorrect
1,"[641, 1476, 2070, 1592, 2575, 1255, 2392, 1976]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '>', 0.035294145345687866, '<=', 0.03333336114883423, '<=', -0.27843138575553894]",5,1000,0.8680555555555556,100,1.7361111111111112,3.4129692832764507,2.4699999999999998,0.0,0.0,0.0,1.7064846416382253,incorrect
1,"[641, 1476, 2070, 1592, 2575, 1255, 2392, 1843, 18, 1307, 1116, 1361, 1083, 2331]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '>', 0.035294145345687866, '>', 0.03333336114883423, '>', -0.343137264251709, '>', 0.03921571373939514, '>', -0.17058822512626648, '<=', 0.26274511218070984, '<=', 0.2666666805744171, '<=', -0.023529410362243652, '>', -0.07450979948043823]",5,1000,0.8680555555555556,100,1.7361111111111112,3.4129692832764507,0.61,0.0,0.0,0.0,1.7064846416382253,incorrect
1,"[641, 1476, 2070, 1592, 2575, 3064, 938]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '<=', -0.2568627595901489, '>', -0.3490196168422699, '>', 0.2666666805744171]",4,1000,0.6944444444444444,100,1.3888888888888888,2.73972602739726,1.3299999999999998,0.0,0.0,0.0,1.36986301369863,incorrect
1,"[641, 1476, 2070, 2829]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '>', 0.3137255012989044, '>', 0.37254902720451355]",4,1000,0.6944444444444444,100,1.3888888888888888,2.73972602739726,0.8200000000000001,0.0,0.0,0.0,1.36986301369863,incorrect
1,"[641, 776, 1694]","['>', 0.4333333373069763, '<=', -0.0313725471496582, '<=', 0.18039217591285706]",4,1000,0.6944444444444444,100,1.3888888888888888,2.73972602739726,0.66,0.0,0.0,0.0,1.36986301369863,incorrect
1,"[641, 1476, 2070, 1592, 1710, 3065, 1710]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '<=', -0.3764705955982208, '<=', -0.1607843041419983, '>', -0.07647058367729187, '>', -0.2392156720161438]",3,1000,0.5208333333333333,100,1.0416666666666665,2.0618556701030926,0.33999999999999997,0.0,0.0,0.0,1.0309278350515463,incorrect
1,"[641, 1476, 2070, 1592, 2575, 3064, 938, 2439]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '<=', -0.2568627595901489, '>', -0.3490196168422699, '<=', 0.2666666805744171, '>', 0.2823529541492462]",3,1000,0.5208333333333333,100,1.0416666666666665,2.0618556701030926,0.32,0.0,0.0,0.0,1.0309278350515463,incorrect
1,"[641, 1476, 2070, 1592, 2575, 1255, 2392, 1976, 1103, 1539]","['<=', 0.4333333373069763, '<=', 0.2705882489681244, '<=', 0.3137255012989044, '>', -0.3764705955982208, '>', -0.2568627595901489, '>', 0.035294145345687866, '<=', 0.03333336114883423, '>', -0.27843138575553894, '>', 0.20588237047195435, '<=', 0.343137264251709]",3,1000,0.5208333333333333,100,1.0416666666666665,2.0618556701030926,1.7999999999999998,0.0,0.0,0.0,1.0309278350515463,incorrect
