layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
3,"[0, 0, 0, 0]","['<=', 0.05053077079355717, '<=', 0.027069898322224617, '<=', 0.020564462058246136, '<=', 0.013720915652811527]",546,0,68.25,100,69.11392405063292,81.73652694610777,69.5,100.0,70.2020202020202,82.49258160237387,82.11455427424082,correct
3,"[0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '<=', 0.027069898322224617, '<=', 0.020564462058246136, '>', 0.013720915652811527, '>', 0.013735882006585598]",144,0,18.0,100,18.227848101265824,30.835117773019274,17.5,100.0,17.67676767676768,30.042918454935624,30.439018113977447,correct
3,"[0, 0, 0, 0]","['<=', 0.05053077079355717, '<=', 0.027069898322224617, '>', 0.020564462058246136, '>', 0.020602555945515633]",49,0,6.125,100,6.20253164556962,11.680572109654348,5.5,90.9090909090909,5.05050505050505,9.56937799043062,10.624975050042483,correct
3,"[0, 0, 0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '>', 0.027069898322224617, '>', 0.02734807599335909, '>', 0.027842387557029724, '>', 0.03259735926985741, '>', 0.03295559622347355, '<=', 0.036220502108335495]",16,0,2.0,100,2.0253164556962027,3.970223325062035,2.5,100.0,2.525252525252525,4.926108374384236,4.448165849723136,correct
3,"[0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '>', 0.027069898322224617, '>', 0.02734807599335909, '>', 0.027842387557029724, '<=', 0.03259735926985741]",13,0,1.625,100,1.6455696202531647,3.2378580323785804,4.0,87.5,3.535353535353535,6.796116504854368,5.016987268616474,correct
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '>', 0.027069898322224617, '>', 0.02734807599335909, '>', 0.027842387557029724, '>', 0.03259735926985741, '>', 0.03295559622347355, '>', 0.036220502108335495, '>', 0.03642001934349537, '<=', 0.04117964766919613]",8,0,1.0,100,1.0126582278481013,2.0050125313283207,0.0,0.0,0.0,0.0,1.0025062656641603,correct
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '>', 0.027069898322224617, '>', 0.02734807599335909, '>', 0.027842387557029724, '>', 0.03259735926985741, '>', 0.03295559622347355, '>', 0.036220502108335495, '>', 0.03642001934349537, '>', 0.04117964766919613, '>', 0.04192803241312504]",8,0,1.0,100,1.0126582278481013,2.0050125313283207,0.5,100.0,0.5050505050505051,1.0050251256281406,1.5050188284782307,correct
3,"[0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '>', 0.027069898322224617, '>', 0.02734807599335909, '<=', 0.027842387557029724, '<=', 0.027707483619451523]",3,0,0.375,100,0.37974683544303794,0.7566204287515762,0.0,0.0,0.0,0.0,0.3783102143757881,correct
3,"[0, 0, 0, 0]","['>', 0.05053077079355717, '>', 0.05258655920624733, '<=', 0.10118264332413673, '>', 0.05429055541753769]",2,0,0.25,100,0.25316455696202533,0.5050505050505051,0.0,0.0,0.0,0.0,0.25252525252525254,correct
3,"[0, 0, 0, 0, 0]","['>', 0.05053077079355717, '>', 0.05258655920624733, '<=', 0.10118264332413673, '<=', 0.05429055541753769, '<=', 0.053261157125234604]",1,0,0.125,100,0.12658227848101267,0.2528445006321113,0.0,0.0,0.0,0.0,0.12642225031605564,correct
3,"[0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '<=', 0.027069898322224617, '<=', 0.020564462058246136, '>', 0.013720915652811527, '<=', 0.013735882006585598]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
3,"[0, 0, 0, 0]","['<=', 0.05053077079355717, '<=', 0.027069898322224617, '>', 0.020564462058246136, '<=', 0.020602555945515633]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
3,"[0, 0, 0]","['<=', 0.05053077079355717, '>', 0.027069898322224617, '<=', 0.02734807599335909]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
3,"[0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '>', 0.027069898322224617, '>', 0.02734807599335909, '<=', 0.027842387557029724, '>', 0.027707483619451523]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
3,"[0, 0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '>', 0.027069898322224617, '>', 0.02734807599335909, '>', 0.027842387557029724, '>', 0.03259735926985741, '<=', 0.03295559622347355]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
3,"[0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '>', 0.027069898322224617, '>', 0.02734807599335909, '>', 0.027842387557029724, '>', 0.03259735926985741, '>', 0.03295559622347355, '>', 0.036220502108335495, '<=', 0.03642001934349537]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.05053077079355717, '>', 0.027069898322224617, '>', 0.02734807599335909, '>', 0.027842387557029724, '>', 0.03259735926985741, '>', 0.03295559622347355, '>', 0.036220502108335495, '>', 0.03642001934349537, '>', 0.04117964766919613, '<=', 0.04192803241312504]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
3,"[0, 0]","['>', 0.05053077079355717, '<=', 0.05258655920624733]",1,1000,0.125,100,10.0,18.181818181818183,0.5,0.0,0.0,0.0,9.090909090909092,incorrect
3,"[0, 0, 0, 0, 0]","['>', 0.05053077079355717, '>', 0.05258655920624733, '<=', 0.10118264332413673, '<=', 0.05429055541753769, '>', 0.053261157125234604]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
3,"[0, 0, 0]","['>', 0.05053077079355717, '>', 0.05258655920624733, '>', 0.10118264332413673]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
