layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
4,"[0, 0, 0]","['<=', 0.1588568538427353, '<=', 0.10994364693760872, '<=', 0.03620321303606033]",119,0,10.188356164383562,100,11.531007751937985,20.677671589921808,12.32876712328767,100.0,14.399999999999999,25.17482517482517,22.926248382373487,correct
4,"[0, 0, 0, 0, 0, 0]","['<=', 0.1588568538427353, '<=', 0.10994364693760872, '>', 0.03620321303606033, '>', 0.03621724434196949, '>', 0.0378223042935133, '>', 0.05871143937110901]",93,0,7.962328767123288,100,9.011627906976743,16.53333333333333,10.273972602739725,86.66666666666667,10.4,18.57142857142857,17.55238095238095,correct
4,"[0, 0, 0, 0, 0, 0]","['>', 0.1588568538427353, '>', 0.840561181306839, '<=', 0.988589733839035, '>', 0.8891328871250153, '>', 0.9342908561229706, '<=', 0.9519458711147308]",88,0,7.534246575342466,100,8.527131782945736,15.714285714285714,8.904109589041095,100.0,10.4,18.840579710144926,17.27743271221532,correct
4,"[0, 0, 0, 0, 0, 0, 0]","['>', 0.1588568538427353, '>', 0.840561181306839, '<=', 0.988589733839035, '>', 0.8891328871250153, '>', 0.9342908561229706, '>', 0.9519458711147308, '>', 0.9521189630031586]",81,0,6.934931506849315,100,7.848837209302325,14.555256064690028,10.95890410958904,100.0,12.8,22.69503546099291,18.62514576284147,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0]","['>', 0.1588568538427353, '>', 0.840561181306839, '<=', 0.988589733839035, '>', 0.8891328871250153, '<=', 0.9342908561229706, '<=', 0.9339697360992432, '<=', 0.9328292012214661, '>', 0.918297290802002]",63,0,5.3938356164383565,100,6.104651162790697,11.506849315068491,5.47945205479452,75.0,4.8,9.022556390977444,10.264702853022968,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['>', 0.1588568538427353, '>', 0.840561181306839, '<=', 0.988589733839035, '>', 0.8891328871250153, '<=', 0.9342908561229706, '<=', 0.9339697360992432, '<=', 0.9328292012214661, '<=', 0.918297290802002, '<=', 0.9181483089923859, '<=', 0.9138711392879486]",42,0,3.595890410958904,100,4.069767441860465,7.82122905027933,3.4246575342465753,100.0,4.0,7.6923076923076925,7.756768371293511,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.1588568538427353, '<=', 0.10994364693760872, '>', 0.03620321303606033, '>', 0.03621724434196949, '>', 0.0378223042935133, '<=', 0.05871143937110901, '<=', 0.05855441652238369, '<=', 0.04823898710310459]",38,0,3.2534246575342465,100,3.6821705426356592,7.102803738317757,3.4246575342465753,100.0,4.0,7.6923076923076925,7.397555715312725,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.1588568538427353, '<=', 0.10994364693760872, '>', 0.03620321303606033, '>', 0.03621724434196949, '>', 0.0378223042935133, '<=', 0.05871143937110901, '<=', 0.05855441652238369, '>', 0.04823898710310459, '>', 0.048454731702804565]",38,0,3.2534246575342465,100,3.6821705426356592,7.102803738317757,2.73972602739726,100.0,3.2,6.201550387596899,6.652177062957328,correct
4,"[0, 0, 0, 0, 0, 0, 0]","['>', 0.1588568538427353, '>', 0.840561181306839, '<=', 0.988589733839035, '<=', 0.8891328871250153, '<=', 0.8859142661094666, '<=', 0.8830692768096924, '>', 0.865908682346344]",33,0,2.8253424657534243,100,3.1976744186046515,6.197183098591551,0.684931506849315,100.0,0.8,1.5873015873015874,3.8922423429465693,correct
4,"[0, 0, 0, 0]","['<=', 0.1588568538427353, '>', 0.10994364693760872, '>', 0.11005022749304771, '>', 0.1333521455526352]",29,0,2.482876712328767,100,2.810077519379845,5.466540999057493,2.054794520547945,66.66666666666666,1.6,3.1250000000000004,4.2957704995287465,correct
