layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
1,"[9, 8, 9, 7, 1, 0]","['<=', 0.4245416074991226, '<=', 0.1666666716337204, '<=', 0.267630472779274, '<=', 0.875, '<=', 0.6111111342906952, '<=', 0.0626352559775114]",213,0,18.236301369863014,100,20.985221674876847,34.69055374592834,20.89041095890411,98.36065573770492,22.727272727272727,36.92307692307692,35.80681533450263,correct
1,"[9, 2, 3, 1, 5]","['>', 0.4245416074991226, '>', 0.1875, '<=', 0.7623567879199982, '>', 0.6111111342906952, '<=', 0.75]",194,0,16.60958904109589,100,19.113300492610836,32.09263854425144,16.095890410958905,95.74468085106383,17.045454545454543,28.938906752411572,30.515772648331506,correct
1,"[9, 8, 9, 0, 6, 3, 2, 1, 0, 3]","['<=', 0.4245416074991226, '<=', 0.1666666716337204, '>', 0.267630472779274, '>', 0.011290284804999828, '<=', 0.4375, '<=', 0.18420621752738953, '<=', 0.9375, '<=', 0.6111111342906952, '<=', 0.05490897223353386, '<=', 0.17013093084096909]",80,0,6.8493150684931505,100,7.8817733990147785,14.61187214611872,7.876712328767123,100.0,8.712121212121213,16.02787456445993,15.319873355289324,correct
1,"[9, 8, 1, 9, 3]","['<=', 0.4245416074991226, '>', 0.1666666716337204, '>', 0.6111111342906952, '>', 0.23589562624692917, '>', 0.20818331092596054]",66,0,5.650684931506849,100,6.502463054187192,12.210915818686402,5.821917808219178,88.23529411764706,5.681818181818182,10.676156583629892,11.443536201158146,correct
1,"[9, 8, 1, 9, 3, 3, 6, 7, 3]","['<=', 0.4245416074991226, '>', 0.1666666716337204, '>', 0.6111111342906952, '>', 0.23589562624692917, '<=', 0.20818331092596054, '<=', 0.2067103087902069, '>', 0.3125, '>', 0.375, '>', 0.13682487607002258]",37,0,3.1678082191780823,100,3.645320197044335,7.034220532319391,3.0821917808219177,88.88888888888889,3.0303030303030303,5.86080586080586,6.447513196562626,correct
1,"[9, 8, 1, 3, 0, 9, 6, 1, 8]","['<=', 0.4245416074991226, '>', 0.1666666716337204, '<=', 0.6111111342906952, '<=', 0.15941080451011658, '>', 0.005545817781239748, '<=', 0.3638928085565567, '<=', 0.4375, '<=', 0.5000000149011612, '<=', 0.5000000149011612]",35,0,2.996575342465753,100,3.4482758620689653,6.666666666666666,0.0,0.0,0.0,0.0,3.333333333333333,correct
1,"[9, 2, 3, 1, 3, 1, 7]","['>', 0.4245416074991226, '>', 0.1875, '<=', 0.7623567879199982, '<=', 0.6111111342906952, '<=', 0.2582651376724243, '<=', 0.5000000149011612, '<=', 0.5833333432674408]",33,0,2.8253424657534243,100,3.251231527093596,6.297709923664122,3.4246575342465753,70.0,2.6515151515151514,5.10948905109489,5.703599487379506,correct
1,"[9, 8, 9, 0, 6, 3, 3, 3, 1]","['<=', 0.4245416074991226, '<=', 0.1666666716337204, '>', 0.267630472779274, '>', 0.011290284804999828, '<=', 0.4375, '>', 0.18420621752738953, '>', 0.18576104938983917, '>', 0.20458264648914337, '>', 0.5000000149011612]",28,0,2.3972602739726026,100,2.7586206896551726,5.369127516778524,4.10958904109589,91.66666666666666,4.166666666666666,7.971014492753621,6.670071004766072,correct
1,"[9, 8, 1, 3, 3, 2, 7, 0, 3]","['<=', 0.4245416074991226, '>', 0.1666666716337204, '<=', 0.6111111342906952, '>', 0.15941080451011658, '<=', 0.24672667682170868, '>', 0.4375, '>', 0.375, '>', 0.039776578545570374, '>', 0.17119476199150085]",23,0,1.9691780821917808,100,2.2660098522167487,4.43159922928709,1.36986301369863,100.0,1.5151515151515151,2.9850746268656714,3.7083369280763807,correct
1,"[9, 8, 1, 3, 0, 9, 6, 1, 9, 0]","['<=', 0.4245416074991226, '>', 0.1666666716337204, '<=', 0.6111111342906952, '<=', 0.15941080451011658, '>', 0.005545817781239748, '<=', 0.3638928085565567, '<=', 0.4375, '>', 0.5000000149011612, '>', 0.24153737723827362, '<=', 0.033583397045731544]",17,0,1.4554794520547945,100,1.6748768472906401,3.2945736434108523,1.7123287671232876,80.0,1.5151515151515151,2.9739776951672865,3.134275669289069,correct
