layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
4,"[0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '<=', 0.13927065581083298, '>', 0.0768335871398449]",48,0,7.81758957654723,100,14.723926380368098,25.668449197860962,7.142857142857142,100.0,14.666666666666666,25.581395348837205,25.624922273349085,correct
4,"[0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '>', 0.2574382871389389, '<=', 0.2906116843223572]",34,0,5.537459283387622,100,10.429447852760736,18.88888888888889,6.493506493506493,90.0,12.0,21.176470588235293,20.03267973856209,correct
4,"[0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '<=', 0.13927065581083298, '<=', 0.0768335871398449, '<=', 0.07613808661699295]",24,0,3.908794788273615,100,7.361963190184049,13.714285714285715,3.2467532467532463,80.0,5.333333333333334,10.000000000000002,11.857142857142858,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '>', 0.2574382871389389, '>', 0.2906116843223572, '>', 0.2909701019525528, '<=', 0.30608363449573517, '>', 0.2922240048646927]",17,0,2.768729641693811,100,5.214723926380368,9.912536443148687,2.5974025974025974,75.0,4.0,7.594936708860759,8.753736576004723,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '<=', 0.2574382871389389, '<=', 0.2569018006324768, '<=', 0.18981316685676575, '>', 0.1551915556192398, '<=', 0.17270420491695404]",16,0,2.6058631921824107,100,4.9079754601226995,9.35672514619883,1.2987012987012987,100.0,2.666666666666667,5.194805194805195,7.275765170502012,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '<=', 0.2574382871389389, '<=', 0.2569018006324768, '<=', 0.18981316685676575, '>', 0.1551915556192398, '>', 0.17270420491695404, '>', 0.17325840890407562]",15,0,2.44299674267101,100,4.601226993865031,8.797653958944283,3.2467532467532463,100.0,6.666666666666667,12.5,10.64882697947214,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '>', 0.2574382871389389, '>', 0.2906116843223572, '>', 0.2909701019525528, '>', 0.30608363449573517, '>', 0.308365136384964, '>', 0.31484465301036835, '<=', 0.32899029552936554]",12,0,1.9543973941368076,100,3.6809815950920246,7.100591715976331,1.2987012987012987,100.0,2.666666666666667,5.194805194805195,6.147698455390763,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '<=', 0.2574382871389389, '<=', 0.2569018006324768, '>', 0.18981316685676575, '>', 0.19609799981117249, '<=', 0.20331639051437378]",11,0,1.7915309446254073,100,3.374233128834356,6.528189910979228,1.948051948051948,100.0,4.0,7.6923076923076925,7.11024880164346,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '<=', 0.2574382871389389, '<=', 0.2569018006324768, '>', 0.18981316685676575, '>', 0.19609799981117249, '>', 0.20331639051437378, '>', 0.20344534516334534, '>', 0.22092994302511215, '>', 0.22222478687763214, '>', 0.24621549993753433, '<=', 0.2529698312282562]",9,0,1.4657980456026058,100,2.7607361963190185,5.373134328358209,2.5974025974025974,75.0,4.0,7.594936708860759,6.484035518609485,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '<=', 0.2574382871389389, '<=', 0.2569018006324768, '>', 0.18981316685676575, '>', 0.19609799981117249, '>', 0.20331639051437378, '>', 0.20344534516334534, '<=', 0.22092994302511215, '>', 0.21385382115840912]",8,0,1.3029315960912053,100,2.4539877300613497,4.790419161676646,0.0,0.0,0.0,0.0,2.395209580838323,correct
4,"[0, 0, 0, 0]","['<=', 0.49642355740070343, '>', 0.3384040594100952, '>', 0.36907459795475006, '>', 0.47632838785648346]",8,0,1.3029315960912053,100,2.4539877300613497,4.790419161676646,1.2987012987012987,50.0,1.3333333333333335,2.5974025974025974,3.693910879539622,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '<=', 0.2574382871389389, '<=', 0.2569018006324768, '<=', 0.18981316685676575, '<=', 0.1551915556192398, '<=', 0.15262027084827423, '<=', 0.14792197197675705]",7,0,1.1400651465798046,100,2.147239263803681,4.2042042042042045,0.6493506493506493,100.0,1.3333333333333335,2.6315789473684212,3.417891575786313,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '<=', 0.2574382871389389, '<=', 0.2569018006324768, '>', 0.18981316685676575, '>', 0.19609799981117249, '>', 0.20331639051437378, '>', 0.20344534516334534, '>', 0.22092994302511215, '>', 0.22222478687763214, '<=', 0.24621549993753433, '<=', 0.2439277619123459, '<=', 0.23664173483848572, '>', 0.2272123247385025, '<=', 0.2330436185002327]",7,0,1.1400651465798046,100,2.147239263803681,4.2042042042042045,0.6493506493506493,100.0,1.3333333333333335,2.6315789473684212,3.417891575786313,correct
4,"[0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '>', 0.3384040594100952, '>', 0.36907459795475006, '<=', 0.47632838785648346, '<=', 0.42211513221263885, '>', 0.3873351067304611, '<=', 0.39246657490730286]",7,0,1.1400651465798046,100,2.147239263803681,4.2042042042042045,0.6493506493506493,100.0,1.3333333333333335,2.6315789473684212,3.417891575786313,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '>', 0.2574382871389389, '>', 0.2906116843223572, '>', 0.2909701019525528, '>', 0.30608363449573517, '>', 0.308365136384964, '>', 0.31484465301036835, '>', 0.32899029552936554, '>', 0.32945017516613007, '>', 0.33050720393657684]",6,0,0.9771986970684038,100,1.8404907975460123,3.6144578313253013,1.2987012987012987,100.0,2.666666666666667,5.194805194805195,4.404631513065248,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '>', 0.3384040594100952, '>', 0.36907459795475006, '<=', 0.47632838785648346, '<=', 0.42211513221263885, '<=', 0.3873351067304611, '<=', 0.3812755346298218, '<=', 0.3750867694616318]",6,0,0.9771986970684038,100,1.8404907975460123,3.6144578313253013,1.2987012987012987,50.0,1.3333333333333335,2.5974025974025974,3.1059302143639496,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '>', 0.3384040594100952, '>', 0.36907459795475006, '<=', 0.47632838785648346, '<=', 0.42211513221263885, '>', 0.3873351067304611, '>', 0.39246657490730286, '>', 0.39342664182186127, '>', 0.39902982115745544, '>', 0.4001905918121338, '<=', 0.4139673113822937]",6,0,0.9771986970684038,100,1.8404907975460123,3.6144578313253013,2.5974025974025974,75.0,4.0,7.594936708860759,5.60469727009303,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '<=', 0.2574382871389389, '<=', 0.2569018006324768, '>', 0.18981316685676575, '>', 0.19609799981117249, '>', 0.20331639051437378, '>', 0.20344534516334534, '<=', 0.22092994302511215, '<=', 0.21385382115840912, '<=', 0.21102909743785858]",5,0,0.8143322475570033,100,1.5337423312883436,3.0211480362537766,1.948051948051948,100.0,4.0,7.6923076923076925,5.356727864280734,correct
4,"[0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '>', 0.3384040594100952, '>', 0.36907459795475006, '<=', 0.47632838785648346, '>', 0.42211513221263885, '>', 0.44606052339076996, '<=', 0.45595045387744904]",5,0,0.8143322475570033,100,1.5337423312883436,3.0211480362537766,0.0,0.0,0.0,0.0,1.5105740181268883,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '<=', 0.2574382871389389, '<=', 0.2569018006324768, '<=', 0.18981316685676575, '<=', 0.1551915556192398, '<=', 0.15262027084827423, '>', 0.14792197197675705, '>', 0.14890145510435104]",4,0,0.6514657980456027,100,1.2269938650306749,2.4242424242424243,1.2987012987012987,100.0,2.666666666666667,5.194805194805195,3.8095238095238093,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '<=', 0.3384040594100952, '>', 0.13927065581083298, '>', 0.1414753571152687, '<=', 0.2574382871389389, '<=', 0.2569018006324768, '>', 0.18981316685676575, '>', 0.19609799981117249, '>', 0.20331639051437378, '>', 0.20344534516334534, '>', 0.22092994302511215, '>', 0.22222478687763214, '<=', 0.24621549993753433, '<=', 0.2439277619123459, '<=', 0.23664173483848572, '>', 0.2272123247385025, '>', 0.2330436185002327, '>', 0.2341538816690445]",4,0,0.6514657980456027,100,1.2269938650306749,2.4242424242424243,0.6493506493506493,100.0,1.3333333333333335,2.6315789473684212,2.5279106858054226,correct
4,"[0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '>', 0.3384040594100952, '<=', 0.36907459795475006, '<=', 0.3608656972646713, '>', 0.34726814925670624, '<=', 0.35388584434986115]",4,0,0.6514657980456027,100,1.2269938650306749,2.4242424242424243,0.6493506493506493,100.0,1.3333333333333335,2.6315789473684212,2.5279106858054226,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '>', 0.3384040594100952, '>', 0.36907459795475006, '<=', 0.47632838785648346, '<=', 0.42211513221263885, '>', 0.3873351067304611, '>', 0.39246657490730286, '>', 0.39342664182186127, '<=', 0.39902982115745544]",4,0,0.6514657980456027,100,1.2269938650306749,2.4242424242424243,0.6493506493506493,0.0,0.0,0.0,1.2121212121212122,correct
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['<=', 0.49642355740070343, '>', 0.3384040594100952, '>', 0.36907459795475006, '<=', 0.47632838785648346, '>', 0.42211513221263885, '>', 0.44606052339076996, '>', 0.45595045387744904, '>', 0.45827914774417877, '<=', 0.4752804636955261, '>', 0.46450912952423096, '>', 0.4711306393146515, '<=', 0.47307638823986053]",4,0,0.6514657980456027,100,1.2269938650306749,2.4242424242424243,0.0,0.0,0.0,0.0,1.2121212121212122,correct
