layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
1,"[1, 4, 5]","['<=', 123.5, '<=', 205.0, '<=', 26.449999809265137]",100,0,16.286644951140065,100,24.691358024691358,39.603960396039604,14.935064935064934,91.30434782608695,21.428571428571427,34.71074380165289,37.157352098846246,correct
1,"[1, 4, 5, 0, 7, 5, 5]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '<=', 6.5, '<=', 31.5, '<=', 45.39999961853027, '<=', 30.949999809265137]",51,0,8.306188925081432,100,12.592592592592592,22.368421052631575,7.792207792207792,91.66666666666666,11.224489795918368,20.0,21.184210526315788,correct
1,"[1, 4, 5, 0, 7, 5, 5, 6, 2, 5, 0]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '<=', 6.5, '<=', 31.5, '<=', 45.39999961853027, '>', 30.949999809265137, '<=', 0.5010000169277191, '>', 53.0, '>', 31.75, '>', 0.5]",46,0,7.491856677524431,100,11.358024691358025,20.39911308203991,5.194805194805195,87.5,7.142857142857142,13.20754716981132,16.803330125925616,correct
1,"[1, 4, 5, 0, 7, 3, 1]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '<=', 6.5, '>', 31.5, '>', 25.5, '<=', 108.5]",19,0,3.0944625407166124,100,4.691358024691358,8.962264150943398,1.948051948051948,33.33333333333333,1.0204081632653061,1.9801980198019802,5.471231085372689,correct
1,"[1, 1, 5, 4, 7, 5]","['>', 123.5, '<=', 151.5, '<=', 29.949999809265137, '<=', 220.5, '<=', 27.5, '<=', 28.800000190734863]",17,0,2.768729641693811,100,4.197530864197531,8.056872037914692,3.2467532467532463,80.0,4.081632653061225,7.766990291262136,7.911931164588414,correct
1,"[1, 4, 5, 0, 7, 6, 5, 6, 5]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '>', 6.5, '>', 38.5, '<=', 0.7615000009536743, '>', 27.550000190734863, '<=', 0.632500022649765, '>', 29.850000381469727]",15,0,2.44299674267101,100,3.7037037037037033,7.1428571428571415,6.493506493506493,60.0,6.122448979591836,11.11111111111111,9.126984126984127,correct
1,"[1, 4, 5, 0, 7, 5, 5, 6, 2, 5, 0, 3]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '<=', 6.5, '<=', 31.5, '<=', 45.39999961853027, '>', 30.949999809265137, '<=', 0.5010000169277191, '>', 53.0, '>', 31.75, '<=', 0.5, '>', 26.0]",11,0,1.7915309446254073,100,2.7160493827160495,5.288461538461539,0.6493506493506493,100.0,1.0204081632653061,2.0202020202020203,3.6543317793317796,correct
1,"[1, 1, 4, 1, 1, 2]","['>', 123.5, '>', 151.5, '>', 288.5, '>', 166.5, '<=', 191.0, '<=', 89.0]",11,0,1.7915309446254073,100,2.7160493827160495,5.288461538461539,0.6493506493506493,100.0,1.0204081632653061,2.0202020202020203,3.6543317793317796,correct
1,"[1, 4, 5, 0, 7, 5, 5, 6, 3, 4]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '<=', 6.5, '<=', 31.5, '<=', 45.39999961853027, '>', 30.949999809265137, '>', 0.5010000169277191, '<=', 29.0, '<=', 85.5]",10,0,1.6286644951140066,100,2.4691358024691357,4.8192771084337345,2.5974025974025974,75.0,3.061224489795918,5.88235294117647,5.350815024805103,correct
1,"[1, 1, 5, 4, 7, 1, 4, 2, 7]","['>', 123.5, '<=', 151.5, '<=', 29.949999809265137, '<=', 220.5, '>', 27.5, '>', 125.5, '<=', 112.5, '>', 28.0, '<=', 45.0]",9,0,1.4657980456026058,100,2.2222222222222223,4.3478260869565215,0.6493506493506493,0.0,0.0,0.0,2.1739130434782608,correct
1,"[1, 1, 5, 4, 6, 5, 5, 7, 1, 2]","['>', 123.5, '<=', 151.5, '>', 29.949999809265137, '<=', 192.0, '<=', 0.42099998891353607, '>', 31.800000190734863, '<=', 45.54999923706055, '<=', 42.0, '<=', 149.5, '>', 74.0]",9,0,1.4657980456026058,100,2.2222222222222223,4.3478260869565215,1.2987012987012987,50.0,1.0204081632653061,2.0,3.1739130434782608,correct
1,"[1, 1, 5, 4, 3, 4]","['>', 123.5, '<=', 151.5, '>', 29.949999809265137, '>', 192.0, '>', 23.5, '<=', 289.0]",9,0,1.4657980456026058,100,2.2222222222222223,4.3478260869565215,3.2467532467532463,40.0,2.0408163265306123,3.883495145631068,4.115660616293795,correct
1,"[1, 4, 5, 0, 7, 5, 5, 6, 3, 5, 1, 5, 6]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '<=', 6.5, '<=', 31.5, '<=', 45.39999961853027, '>', 30.949999809265137, '>', 0.5010000169277191, '>', 29.0, '<=', 38.64999961853027, '<=', 103.0, '<=', 37.60000038146973, '<=', 1.271500051021576]",5,0,0.8143322475570033,100,1.2345679012345678,2.4390243902439024,0.6493506493506493,100.0,1.0204081632653061,2.0202020202020203,2.2296132052229614,correct
1,"[1, 4, 5, 0, 7, 3, 2, 5, 5, 2]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '<=', 6.5, '>', 31.5, '<=', 25.5, '<=', 89.0, '<=', 34.85000038146973, '>', 31.600000381469727, '<=', 87.0]",5,0,0.8143322475570033,100,1.2345679012345678,2.4390243902439024,0.6493506493506493,0.0,0.0,0.0,1.2195121951219512,correct
1,"[1, 1, 5, 4, 7, 1, 4, 2, 7, 1, 5]","['>', 123.5, '<=', 151.5, '<=', 29.949999809265137, '<=', 220.5, '>', 27.5, '>', 125.5, '<=', 112.5, '>', 28.0, '>', 45.0, '<=', 146.0, '>', 24.0]",5,0,0.8143322475570033,100,1.2345679012345678,2.4390243902439024,1.948051948051948,100.0,3.061224489795918,5.94059405940594,4.189809224824921,correct
1,"[1, 1, 5, 4, 6, 5, 5, 7, 1, 2, 0, 3, 5]","['>', 123.5, '<=', 151.5, '>', 29.949999809265137, '<=', 192.0, '<=', 0.42099998891353607, '>', 31.800000190734863, '<=', 45.54999923706055, '<=', 42.0, '<=', 149.5, '<=', 74.0, '<=', 6.0, '<=', 39.0, '>', 33.0]",5,0,0.8143322475570033,100,1.2345679012345678,2.4390243902439024,2.5974025974025974,0.0,0.0,0.0,1.2195121951219512,correct
1,"[1, 4, 5, 0, 7, 5, 5, 6, 3, 5]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '<=', 6.5, '<=', 31.5, '<=', 45.39999961853027, '>', 30.949999809265137, '>', 0.5010000169277191, '>', 29.0, '>', 38.64999961853027]",4,0,0.6514657980456027,100,0.9876543209876543,1.9559902200488997,1.948051948051948,100.0,3.061224489795918,5.94059405940594,3.9482921397274198,correct
1,"[1, 4, 5, 0, 7, 3, 2]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '<=', 6.5, '>', 31.5, '<=', 25.5, '>', 89.0]",4,0,0.6514657980456027,100,0.9876543209876543,1.9559902200488997,0.0,0.0,0.0,0.0,0.9779951100244498,correct
1,"[1, 1, 5, 4, 6, 5, 6, 2]","['>', 123.5, '<=', 151.5, '>', 29.949999809265137, '<=', 192.0, '>', 0.42099998891353607, '>', 39.95000076293945, '>', 0.5949999988079071, '>', 52.0]",4,0,0.6514657980456027,100,0.9876543209876543,1.9559902200488997,1.2987012987012987,0.0,0.0,0.0,0.9779951100244498,correct
1,"[1, 4, 5, 0, 7, 3, 1, 5]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '<=', 6.5, '>', 31.5, '>', 25.5, '>', 108.5, '>', 35.29999923706055]",3,0,0.4885993485342019,100,0.7407407407407408,1.4705882352941175,0.6493506493506493,100.0,1.0204081632653061,2.0202020202020203,1.7453951277480688,correct
1,"[1, 4, 5, 0, 7, 1]","['<=', 123.5, '<=', 205.0, '>', 26.449999809265137, '>', 6.5, '<=', 38.5, '<=', 90.0]",3,0,0.4885993485342019,100,0.7407407407407408,1.4705882352941175,0.6493506493506493,100.0,1.0204081632653061,2.0202020202020203,1.7453951277480688,correct
1,"[1, 1, 5, 4, 6, 5, 5, 7, 7, 5]","['>', 123.5, '<=', 151.5, '>', 29.949999809265137, '<=', 192.0, '<=', 0.42099998891353607, '>', 31.800000190734863, '<=', 45.54999923706055, '>', 42.0, '>', 46.0, '>', 37.54999923706055]",3,0,0.4885993485342019,100,0.7407407407407408,1.4705882352941175,0.6493506493506493,100.0,1.0204081632653061,2.0202020202020203,1.7453951277480688,correct
1,"[1, 1, 5, 4, 3, 4, 7]","['>', 123.5, '<=', 151.5, '>', 29.949999809265137, '>', 192.0, '>', 23.5, '>', 289.0, '>', 42.5]",3,0,0.4885993485342019,100,0.7407407407407408,1.4705882352941175,0.0,0.0,0.0,0.0,0.7352941176470588,correct
1,"[1, 1, 4, 7, 1, 6, 1, 3, 1]","['>', 123.5, '>', 151.5, '<=', 288.5, '<=', 57.5, '<=', 159.5, '>', 0.19700000435113907, '<=', 158.5, '>', 31.5, '>', 152.5]",3,0,0.4885993485342019,100,0.7407407407407408,1.4705882352941175,1.948051948051948,0.0,0.0,0.0,0.7352941176470588,correct
